Cilium compartment(s),Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,Subcellular location,Subcellular main location,Subcellular additional location,Reliability (IF),RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type specific nCPM,Protein cell type specificity
Centriolar satellite,CEP95,CCDC45; DKFZp667E1824,ENSG00000258890,Centrosomal protein 95,Q96GE4,17,64506865-64542461,Predicted intracellular proteins; Predicted membrane proteins,,,,Evidence at protein level,Centriolar satellite; Cytosol,Centriolar satellite,Cytosol,Approved,Low tissue specificity,Detected in all,,,Low cell type specificity,,Cell type enriched
Basal body; Centriolar satellite; Primary cilium,CFAP52,FLJ37528; WDR16; WDRPUH,ENSG00000166596,Cilia and flagella associated protein 52,Q8N1V2,17,9576627-9643447,Disease related genes; Human disease related genes; Predicted intracellular proteins,,,Disease variant; Heterotaxy,Evidence at protein level,Microtubules; Primary cilium; Centriolar satellite; Basal body,Microtubules,Primary cilium; Centriolar satellite; Basal body,Approved,Tissue enhanced,Detected in some,,"{'choroid plexus': '37.4', 'fallopian tube': '54.4'}",Cell type enhanced,"{'Choroid plexus epithelial cells': '118.5', 'Endometrial ciliated cells': '225.8', 'Ependymal cells': '555.1', 'Epididymal efferent duct ciliated cells': '250.1', 'Fallopian tube ciliated cells': '370.3', 'Late primary spermatocytes': '88.6', 'Respiratory ciliated cells': '504.6'}",Cell type enriched
Centriolar satellite,CHD3,Mi-2a; Mi2-ALPHA; ZFH,ENSG00000170004,Chromodomain helicase DNA binding protein 3,Q12873,17,7884796-7912760,Disease related genes; Enzymes; Human disease related genes; Plasma proteins; Potential drug targets; Predicted intracellular proteins,Host-virus interaction; Transcription; Transcription regulation,Chromatin regulator; DNA-binding; Hydrolase,Disease variant; Intellectual disability,Evidence at protein level,Nucleoplasm; Nucleoli; Centriolar satellite,Nucleoplasm; Nucleoli,Centriolar satellite,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Prostatic glandular cells': '185.2'},Cell type enhanced
Centriolar satellite,CLTC,CLTCL2; Hc,ENSG00000141367,Clathrin heavy chain,Q00610,17,59619684-59696956,Cancer-related genes; Disease related genes; Essential proteins; Human disease related genes; Plasma proteins; Potential drug targets; Predicted intracellular proteins; Transporters,Autophagy; Cell cycle; Cell division; Mitosis,,Cancer-related genes; Disease variant; Intellectual disability,Evidence at protein level,Endosomes; Lysosomes; Mitotic spindle; Centriolar satellite; Cytosol; Mid piece,Endosomes; Lysosomes,Mitotic spindle; Centriolar satellite; Cytosol; Mid piece,Enhanced,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Neutrophils': '602.4'},Low cell type specificity
Basal body; Centrosome,CNTROB,LIP8; PP1221,ENSG00000170037,"Centrobin, centriole duplication and spindle assembly protein",Q8N137,17,7932101-7949920,Predicted intracellular proteins,Cell cycle; Cell division,,,Evidence at protein level,Centrosome; Basal body; Cytosol; Flagellar centriole,Centrosome; Basal body; Flagellar centriole,Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Decidual stromal cells': '72.7', 'Early primary spermatocytes': '49.2', 'Late primary spermatocytes': '47.5'}",Cell type enhanced
Basal body,CRK,,ENSG00000167193,"CRK proto-oncogene, adaptor protein",P46108,17,1420689-1463162,Predicted intracellular proteins,,,Proto-oncogene,Evidence at protein level,Nucleoplasm; Plasma membrane; Actin filaments; Basal body,Plasma membrane,Nucleoplasm; Actin filaments; Basal body,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Choroid plexus epithelial cells': '105.3', 'Distal convoluted tubule cells': '53.3', 'Loop of henle epithelial cells': '61.3', 'Microglia': '70.8', 'Papillary tip epithelial cells': '66.6', 'Podocytes': '50.3', 'Proximal tubule cells': '69.2', 'Renal collecting duct intercalated cells': '66.5', 'Renal collecting duct principal cells': '48.8', 'Renal connecting tubule cells': '61.5'}",Low cell type specificity
Primary cilium,CSNK1D,CKID; CKIdelta; HCKID,ENSG00000141551,Casein kinase 1 delta,P48730,17,82239023-82273700,Disease related genes; Enzymes; Human disease related genes; Plasma proteins; Potential drug targets; Predicted intracellular proteins,Biological rhythms; Wnt signaling pathway,Kinase; Serine/threonine-protein kinase; Transferase,Disease variant,Evidence at protein level,Plasma membrane; Actin filaments; Primary cilium; Cytosol; Principal piece; End piece,Plasma membrane; Cytosol,Actin filaments; Primary cilium; Principal piece; End piece,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Early spermatids': '371.3', 'Late spermatids': '1358.7', 'Neutrophils': '605.0'}",Cell type enhanced
Basal body; Centrosome; Primary cilium; Primary cilium tip,CUEDC1,,ENSG00000180891,CUE domain containing 1,Q9NWM3,17,57861243-57955412,Predicted intracellular proteins,,,,Evidence at protein level,Plasma membrane; Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Primary cilium tip; Centrosome; Basal body; Cytosol,Plasma membrane; Primary cilium; Centrosome; Basal body,Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium tip; Cytosol,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Choroid plexus epithelial cells': '205.4', 'Cone photoreceptor cells': '223.6', 'Rod photoreceptor cells': '263.0'}",Group enriched
Basal body; Centrosome; Primary cilium; Primary cilium tip,DLG4,PSD-95; PSD95; SAP-90; SAP90,ENSG00000132535,Discs large MAGUK scaffold protein 4,P78352,17,7187187-7219841,Disease related genes; Human disease related genes; Potential drug targets; Predicted intracellular proteins; Transporters,,,Disease variant; Intellectual disability,Evidence at protein level,Nucleoplasm; Plasma membrane; Primary cilium; Primary cilium tip; Centrosome; Basal body; Cytosol,Nucleoplasm; Centrosome; Basal body,Plasma membrane; Primary cilium; Primary cilium tip; Cytosol,Uncertain,Group enriched,Detected in all,4,"{'brain': '211.2', 'retina': '200.9'}",Cell type enhanced,"{'Choroid plexus epithelial cells': '48.6', 'Cone photoreceptor cells': '209.1', 'Retinal bipolar cells': '64.8', 'Rod photoreceptor cells': '141.9'}",Group enriched
Basal body; Primary cilium,DNAH2,DNHD3; FLJ46675; KIAA1503,ENSG00000183914,Dynein axonemal heavy chain 2,Q9P225,17,7717744-7833742,Disease related genes; Human disease related genes; Predicted intracellular proteins; Predicted membrane proteins,,Motor protein,Disease variant,Evidence at protein level,Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Basal body; Flagellar centriole; End piece,Microtubules; Primary cilium; Flagellar centriole; End piece,Cytokinetic bridge; Mitotic spindle; Basal body,Approved,Group enriched,Detected in some,4,"{'fallopian tube': '12.3', 'parathyroid gland': '9.9', 'retina': '19.2', 'testis': '6.2'}",Cell type enhanced,"{'Endometrial ciliated cells': '56.8', 'Ependymal cells': '204.4', 'Epicardial cells': '38.7', 'Epididymal efferent duct ciliated cells': '44.1', 'Fallopian tube ciliated cells': '108.0', 'Respiratory ciliated cells': '255.2', 'Rod photoreceptor cells': '256.5'}",Group enriched
Centrosome,EMC6,MGC2963; RAB5IFL; TMEM93,ENSG00000127774,ER membrane protein complex subunit 6,Q9BV81,17,3668812-3669668,Predicted membrane proteins; Transporters,,,,Evidence at protein level,Nucleoplasm; Centrosome,Centrosome,Nucleoplasm,Approved,Tissue enhanced,Detected in all,,{'skeletal muscle': '178.5'},Cell type enhanced,"{'Early spermatids': '257.2', 'Esophageal apical cells': '271.7', 'Late primary spermatocytes': '238.0'}",Cell type enhanced
Centrosome,ENGASE,FLJ21865,ENSG00000167280,Endo-beta-N-acetylglucosaminidase,Q8NFI3,17,79074824-79088599,Enzymes; Metabolic proteins; Predicted intracellular proteins,,Glycosidase; Hydrolase,,Evidence at protein level,Centrosome; Cytosol,Cytosol,Centrosome,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Myonuclei': '68.4'},Cell type enhanced
Primary cilium; Primary cilium transition zone,ENSG00000265118,,ENSG00000265118,Novel protein,,17,31305213-31318831,Predicted intracellular proteins; Predicted membrane proteins,,,,Evidence at transcript level,Golgi apparatus; Vesicles; Plasma membrane; Primary cilium; Primary cilium transition zone; Cytosol,Golgi apparatus; Vesicles; Plasma membrane; Primary cilium,Primary cilium transition zone; Cytosol,Approved,Tissue enriched,Detected in some,4,{'lymphoid tissue': '7.8'},Cell type enhanced,"{'Adipocytes': '1.9', 'Cardiomyocytes': '8.4', 'Epicardial cells': '2.3', 'Neutrophils': '4.7', 'NK-cells': '2.1', 'Oligodendrocytes': '2.7', 'Plasma cells': '1.3', 'Retinal horizontal cells': '2.0', 'T-cells': '1.2'}",
Primary cilium; Primary cilium transition zone,EVI2A,EVDA; EVI2,ENSG00000126860,Ecotropic viral integration site 2A,P22794,17,31316410-31321749,Predicted membrane proteins,,,Proto-oncogene,Evidence at protein level,Golgi apparatus; Vesicles; Plasma membrane; Primary cilium; Primary cilium transition zone; Cytosol,Golgi apparatus; Vesicles; Plasma membrane; Primary cilium,Primary cilium transition zone; Cytosol,Supported,Group enriched,Detected in many,4,"{'brain': '164.5', 'lymphoid tissue': '97.8'}",Cell type enhanced,"{'Cardiomyocytes': '45.3', 'cDC': '15.9', 'Epicardial cells': '22.7', 'Innate lymphoid cells': '18.8', 'Kupffer cells': '18.4', 'Macrophages': '18.0', 'Mast cells': '17.8', 'Microglia': '19.4', 'Monocyte progenitors': '17.0', 'monocytes': '24.6', 'Neutrophils': '68.7', 'NK-cells': '26.1', 'Oligodendrocytes': '74.3', 'Plasma cells': '23.7', 'T-cells': '27.0'}",Not detected
Basal body; Centrosome; Primary cilium,FBF1,ALB; FBF-1; FLJ00103; KIAA1863,ENSG00000188878,Fas binding factor 1,Q8TES7,17,75909574-75941140,Predicted intracellular proteins,Cilium biogenesis/degradation,,,Evidence at protein level,Primary cilium; Centrosome; Basal body,Centrosome; Basal body,Primary cilium,Supported,Tissue enhanced,Detected in all,,{'testis': '29.7'},Cell type enhanced,{'Early primary spermatocytes': '52.0'},Cell type enriched
Centrosome,FGF11,FHF3; FLJ16061; MGC102953; MGC45269,ENSG00000161958,Fibroblast growth factor 11,Q92914,17,7438273-7444937,Predicted intracellular proteins,,Growth factor,,Evidence at protein level,Centrosome,Centrosome,,Approved,Tissue enhanced,Detected in many,,{'adrenal gland': '31.2'},Cell type enhanced,"{'Astrocytes': '17.0', 'Bergmann glia': '8.5', 'Brain inhibitory neurons': '3.5', 'Loop of henle epithelial cells': '4.5', 'Oligodendrocyte progenitor cells': '7.7', 'Papillary tip epithelial cells': '1.8', 'Renal connecting tubule cells': '1.7'}",Group enriched
Centriolar satellite,FLII,FLI; Fli1; FLIL; MGC39265,ENSG00000177731,FLII actin remodeling protein,Q13045,17,18244815-18258738,Plasma proteins; Predicted intracellular proteins,Transcription; Transcription regulation,Actin-binding; Activator,Cardiomyopathy; Disease variant,Evidence at protein level,Nucleoplasm; Centriolar satellite; Cytosol,Nucleoplasm; Centriolar satellite; Cytosol,,Approved,Tissue enhanced,Detected in all,,{'skeletal muscle': '239.7'},Low cell type specificity,,Low cell type specificity
Basal body,FZD2,,ENSG00000180340,Frizzled class receptor 2,Q14332,17,44557484-44561262,Cancer-related genes; Disease related genes; G-protein coupled receptors; Human disease related genes; Potential drug targets; Predicted membrane proteins,Wnt signaling pathway,Developmental protein; G-protein coupled receptor; Receptor; Transducer,Cancer-related genes; Disease variant,Evidence at protein level,Nucleoplasm; Nuclear bodies; Cell Junctions; Actin filaments; Basal body,Nucleoplasm; Nuclear bodies; Cell Junctions,Actin filaments; Basal body,Uncertain,Tissue enhanced,Detected in many,,"{'blood vessel': '9.4', 'choroid plexus': '8.9'}",Cell type enhanced,"{'Alveolar cells type 1': '28.9', 'cDC': '11.6', 'Choroid plexus epithelial cells': '12.8', 'Fibroblasts': '11.7', 'Hepatic stellate cells': '12.9', 'Leydig cells': '45.3', 'Microglia': '14.1', 'Monocyte progenitors': '13.1', 'monocytes': '11.2', 'Peritubular myoid cells': '35.1', 'Podocytes': '17.0', 'Retinal pigment epithelial cells': '12.8'}",Not detected
Primary cilium; Primary cilium transition zone,GPRC5C,RAIG-3,ENSG00000170412,G protein-coupled receptor class C group 5 member C,Q9NQ84,17,74424851-74451653,G-protein coupled receptors; Predicted intracellular proteins; Predicted membrane proteins; Transporters,,G-protein coupled receptor; Receptor; Transducer,,Evidence at protein level,Nucleoplasm; Vesicles; Plasma membrane; Primary cilium; Primary cilium transition zone,Vesicles; Plasma membrane,Nucleoplasm; Primary cilium; Primary cilium transition zone,Supported,Tissue enhanced,Detected in many,,"{'liver': '162.9', 'stomach 1': '180.1'}",Cell type enhanced,"{'Conjunctival goblet cells': '227.2', 'Endometrial secretory cells': '190.9', 'Fallopian secretory cells': '151.7', 'Gastric chief cells': '217.3', 'Hepatocytes': '206.5', 'Parietal cells': '222.8', 'Salivary duct cells': '157.4'}",Cell type enhanced
Centrosome,GRAP,,ENSG00000154016,GRB2 related adaptor protein,Q13588,17,19020656-19047011,Disease related genes; Essential proteins; Human disease related genes; Plasma proteins; Predicted intracellular proteins,,,Deafness; Disease variant; Non-syndromic deafness,Evidence at protein level,Centrosome,Centrosome,,Approved,Tissue enhanced,Detected in many,,{'lymphoid tissue': '50.1'},Cell type enhanced,"{'B-cells': '26.3', 'Epididymal basal cells': '6.7', 'Hematopoietic stem cells': '8.2', 'Hofbauer cells': '18.2', 'Lymphatic endothelial cells': '49.4', 'Megakaryocytes': '6.2', 'Microglia': '6.0', 'T-cells': '6.5', 'Thymocytes': '7.6', 'Vascular endothelial cells': '13.3'}",Group enriched
Centrosome,GRAPL,,ENSG00000189152,GRB2 related adaptor protein like,Q8TC17,17,19127535-19159187,Predicted intracellular proteins,,,,Evidence at protein level,Centrosome,Centrosome,,Approved,Tissue enhanced,Detected in many,,"{'intestine': '10.7', 'lymphoid tissue': '24.2'}",Group enriched,"{'B-cells': '17.3', 'Lymphatic endothelial cells': '33.8', 'Vascular endothelial cells': '8.8'}",Not detected
Centrosome,GRB2,NCKAP2,ENSG00000177885,Growth factor receptor bound protein 2,P62993,17,75318076-75405709,Cancer-related genes; Plasma proteins; Predicted intracellular proteins; RAS pathway related proteins,Host-virus interaction,,Cancer-related genes,Evidence at protein level,Centrosome; Cytosol,Cytosol,Centrosome,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'cDC': '523.0', 'Extravillous trophoblasts': '580.4', 'monocytes': '836.3', 'Neutrophil progenitors': '693.8', 'Neutrophils': '2323.7'}",Low cell type specificity
Centrosome,HOXB4,HOX2; HOX2F,ENSG00000182742,Homeobox B4,P17483,17,48575507-48578350,Predicted intracellular proteins; Transcription factors,Transcription; Transcription regulation,Developmental protein; DNA-binding,,Evidence at protein level,Nucleoplasm; Centrosome,Nucleoplasm,Centrosome,Supported,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Epididymal efferent duct absorptive cells': '1.2', 'Fallopian tube ciliated cells': '1.2'}",Cell type enriched
Basal body; Primary cilium,IFT20,,ENSG00000109083,Intraflagellar transport 20,Q8IY31,17,28328325-28335489,Predicted intracellular proteins,Cilium biogenesis/degradation; Differentiation; Spermatogenesis,,,Evidence at protein level,Microtubules; Mitotic spindle; Primary cilium; Basal body; Flagellar centriole; Mid piece; Principal piece; End piece,Microtubules; Primary cilium,Mitotic spindle; Basal body; Flagellar centriole; Mid piece; Principal piece; End piece,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Breast lactating cells': '212.5', 'Early spermatids': '254.5', 'Late primary spermatocytes': '245.1'}",Cell type enriched
Basal body; Primary cilium,IGBP1P2,,ENSG00000266826,Immunoglobulin (CD79A) binding protein 1 pseudogene 2,,17,58660424-58692045,Predicted intracellular proteins,,,,Evidence at protein level,Microtubules; Cytokinetic bridge; Primary cilium; Basal body,Microtubules; Primary cilium,Cytokinetic bridge; Basal body,Approved,Tissue enriched,Detected in single,32,{'testis': '8.3'},Not detected,,
Basal body; Centrosome; Primary cilium,KIAA0753,MNR; OFIP,ENSG00000198920,KIAA0753,Q2KHM9,17,6578147-6640711,Disease related genes; Human disease related genes; Predicted intracellular proteins,,,Ciliopathy; Disease variant; Joubert syndrome,Evidence at protein level,Primary cilium; Centrosome; Basal body; Cytosol,Centrosome,Primary cilium; Basal body; Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Early spermatids': '122.4'},Group enriched
Centrosome,KIF19,FLJ37300; KIF19A,ENSG00000196169,Kinesin family member 19,Q2TAC6,17,74326210-74355820,Predicted intracellular proteins,,Motor protein,,Evidence at protein level,Plasma membrane; Actin filaments; Centrosome,Plasma membrane,Actin filaments; Centrosome,Approved,Group enriched,Detected in many,4,"{'brain': '12.0', 'fallopian tube': '11.3', 'lymphoid tissue': '13.3'}",Cell type enhanced,"{'Endometrial ciliated cells': '57.0', 'Ependymal cells': '46.4', 'Epididymal efferent duct ciliated cells': '45.7', 'Fallopian tube ciliated cells': '81.7', 'Neuroendocrine cells': '24.0', 'Oligodendrocyte progenitor cells': '17.6', 'Paneth cells': '34.8', 'Respiratory ciliated cells': '100.8', 'Schwann cells': '21.6'}",Cell type enriched
Basal body; Centrosome,LRRC45,MGC20806,ENSG00000169683,Leucine rich repeat containing 45,Q96CN5,17,82023305-82031151,Predicted intracellular proteins,,,,Evidence at protein level,Plasma membrane; Centrosome; Basal body; Cytosol; Mid piece; Principal piece,Centrosome; Basal body; Cytosol,Plasma membrane; Mid piece; Principal piece,Approved,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Extravillous trophoblasts': '40.6', 'Fallopian tube ciliated cells': '49.0', 'Respiratory ciliated cells': '66.3'}",Cell type enriched
Basal body; Primary cilium,LRRC46,MGC16309,ENSG00000141294,Leucine rich repeat containing 46,Q96FV0,17,47831634-47837719,Predicted intracellular proteins,Differentiation; Spermatogenesis,,,Evidence at protein level,Nuclear bodies; Plasma membrane; Primary cilium; Basal body,Plasma membrane,Nuclear bodies; Primary cilium; Basal body,Approved,Tissue enhanced,Detected in some,,"{'fallopian tube': '73.8', 'testis': '49.1'}",Cell type enhanced,"{'Early spermatids': '126.8', 'Endometrial ciliated cells': '171.1', 'Ependymal cells': '87.6', 'Epididymal efferent duct ciliated cells': '183.8', 'Fallopian tube ciliated cells': '392.7', 'Late primary spermatocytes': '305.5', 'Late spermatids': '85.5', 'Respiratory ciliated cells': '318.3'}",Cell type enriched
Basal body,MKS1,BBS13; FLJ20345; MKS; POC12,ENSG00000011143,MKS transition zone complex subunit 1,Q9NXB0,17,58205441-58219605,Disease related genes; Human disease related genes; Potential drug targets; Predicted intracellular proteins; Transporters,Cilium biogenesis/degradation,,Bardet-Biedl syndrome; Ciliopathy; Disease variant; Intellectual disability; Joubert syndrome; Meckel syndrome; Obesity,Evidence at protein level,Nucleoplasm; Nucleoli; Basal body,Nucleoplasm; Nucleoli; Basal body,,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Respiratory ciliated cells': '46.1'},Cell type enriched
Primary cilium,NEK8,NPHP9,ENSG00000160602,NIMA related kinase 8,Q86SG6,17,28725897-28743455,Disease related genes; Enzymes; Human disease related genes; Potential drug targets; Predicted intracellular proteins,,Kinase; Serine/threonine-protein kinase; Transferase,Ciliopathy; Disease variant; Nephronophthisis,Evidence at protein level,Nuclear speckles; Microtubules; Mitotic spindle; Primary cilium,Microtubules,Nuclear speckles; Mitotic spindle; Primary cilium,Approved,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Epididymal basal cells': '49.7', 'pDCs': '120.6'}",Group enriched
Basal body,NUP85,FLJ12549; NUP75,ENSG00000125450,Nucleoporin 85,Q9BW27,17,75205659-75235758,Disease related genes; Essential proteins; Human disease related genes; Metabolic proteins; Potential drug targets; Predicted intracellular proteins; Transporters,mRNA transport; Protein transport; Translocation; Transport,,Disease variant,Evidence at protein level,Nucleoplasm; Vesicles; Actin filaments; Basal body; Cytosol,Nucleoplasm,Vesicles; Actin filaments; Basal body; Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Oocytes': '119.7'},Low cell type specificity
Basal body; Centrosome,ODAD4,DKFZP434H0115; TTC25,ENSG00000204815,Outer dynein arm docking complex subunit 4,Q96NG3,17,41930617-41966503,Disease related genes; Essential proteins; Human disease related genes; Predicted intracellular proteins,,,Ciliopathy; Kartagener syndrome; Primary ciliary dyskinesia,Evidence at protein level,Centrosome; Basal body; Acrosome; Mid piece; Principal piece; End piece,Centrosome; Basal body,Acrosome; Mid piece; Principal piece; End piece,Uncertain,Group enriched,Detected in many,5,"{'choroid plexus': '11.5', 'fallopian tube': '16.0', 'testis': '22.5'}",Cell type enhanced,"{'Choroid plexus epithelial cells': '77.8', 'Early spermatids': '214.6', 'Endometrial ciliated cells': '97.9', 'Ependymal cells': '109.8', 'Epididymal efferent duct ciliated cells': '109.1', 'Fallopian tube ciliated cells': '195.2', 'Late primary spermatocytes': '307.9', 'Respiratory ciliated cells': '268.9'}",Cell type enriched
Centrosome,PAFAH1B1,LIS1; MDCR; MDS; NudF; PAFAH,ENSG00000007168,Platelet activating factor acetylhydrolase 1b regulatory subunit 1,P43034,17,2593210-2685615,Disease related genes; Essential proteins; Human disease related genes; Metabolic proteins; Plasma proteins; Predicted intracellular proteins,Cell cycle; Cell division; Differentiation; Lipid degradation; Lipid metabolism; Mitosis; Neurogenesis; Transport,Developmental protein,Disease variant; Lissencephaly,Evidence at protein level,Centrosome; Mid piece,Centrosome,Mid piece,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Late spermatids': '3382.9', 'Neutrophils': '947.9'}",Low cell type specificity
Centriolar satellite,PIK3R5,p101; P101-PI3K,ENSG00000141506,Phosphoinositide-3-kinase regulatory subunit 5,Q8WYR1,17,8878911-8965712,Disease related genes; Human disease related genes; Metabolic proteins; Predicted intracellular proteins,,,Disease variant; Neurodegeneration,Evidence at protein level,Centriolar satellite; Cytosol,Cytosol,Centriolar satellite,Supported,Tissue enhanced,Detected in many,,{'bone marrow': '84.2'},Cell type enhanced,"{'cDC': '375.3', 'Kupffer cells': '320.8', 'Macrophages': '460.4', 'Microglia': '333.5', 'monocytes': '812.2', 'Neutrophil progenitors': '279.0', 'Neutrophils': '2074.7', 'NK-cells': '383.0', 'pDCs': '357.6', 'T-cells': '266.1'}",Cell type enriched
Basal body; Primary cilium,PSME3,Ki; PA28-gamma; PA28G; REG-GAMMA,ENSG00000131467,Proteasome activator subunit 3,P61289,17,42824385-42843760,Predicted intracellular proteins,Apoptosis; Cell cycle; Host-virus interaction,,,Evidence at protein level,Nucleoplasm; Primary cilium; Basal body; Cytosol,Nucleoplasm,Primary cilium; Basal body; Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Early spermatids': '301.4', 'Late spermatids': '177.7'}",Low cell type specificity
Basal body; Centrosome; Primary cilium,RAB34,NARR; RAB39; RAH,ENSG00000109113,"RAB34, member RAS oncogene family",P0DI83; Q9BZG1,17,28714281-28718429,Predicted intracellular proteins,Cilium biogenesis/degradation; Protein transport; Transport,Hydrolase,Ciliopathy; Disease variant,Evidence at protein level,Nucleoplasm; Primary cilium; Centrosome; Basal body; Cytosol,Nucleoplasm; Primary cilium,Centrosome; Basal body; Cytosol,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Breast myoepithelial cells': '128.3', 'Decidual stromal cells': '220.9', 'Epididymal basal cells': '127.2', 'Extravillous trophoblasts': '121.2', 'Hepatic stellate cells': '142.0', 'Ovarian stromal cells': '126.9', 'Peritubular myoid cells': '146.0', 'Smooth muscle cells': '125.3'}",Cell type enhanced
Centriolar satellite,RNF167,DKFZP566H073,ENSG00000108523,Ring finger protein 167,Q9H6Y7,17,4940008-4945222,Enzymes; Metabolic proteins; Predicted intracellular proteins; Predicted membrane proteins,Ubl conjugation pathway,Transferase,,Evidence at protein level,Vesicles; Mitotic spindle; Centriolar satellite; Cytosol,Vesicles; Cytosol,Mitotic spindle; Centriolar satellite,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Esophageal apical cells': '213.6', 'Extravillous trophoblasts': '182.3', 'Oocytes': '285.5'}",Group enriched
Primary cilium,SEPTIN9,AF17q25; KIAA0991; MSF; MSF1; PNUTL4; SEPT9; SeptD1,ENSG00000184640,Septin 9,Q9UHD8,17,77280569-77500596,Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins,Cell cycle; Cell division,,Disease variant,Evidence at protein level,Actin filaments; Microtubules; Cytokinetic bridge; Primary cilium,Actin filaments,Microtubules; Cytokinetic bridge; Primary cilium,Enhanced,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Urothelial cells': '517.5'},Low cell type specificity
Basal body; Centriolar satellite; Centrosome,SLC9A3R1,EBP50; NHERF; NHERF1,ENSG00000109062,SLC9A3 regulator 1,O14745,17,74748628-74769353,Disease related genes; Human disease related genes; Plasma proteins; Potential drug targets; Predicted intracellular proteins; Transporters,Wnt signaling pathway,,Disease variant; Osteoporosis,Evidence at protein level,Vesicles; Plasma membrane; Centriolar satellite; Centrosome; Basal body; Cytosol; Calyx,Plasma membrane; Centriolar satellite,Vesicles; Centrosome; Basal body; Cytosol; Calyx,Approved,Tissue enhanced,Detected in all,,{'esophagus': '348.1'},Cell type enhanced,"{'Enterocytes': '508.6', 'Esophageal apical cells': '681.6', 'Esophageal suprabasal cells': '576.3'}",Group enriched
Basal body; Primary cilium tip,SMG6,C17orf31; EST1A; KIAA0732; SMG-6,ENSG00000070366,SMG6 nonsense mediated mRNA decay factor,Q86US8,17,2059839-2303785,Essential proteins; Plasma proteins; Predicted intracellular proteins,Nonsense-mediated mRNA decay,DNA-binding; Endonuclease; Hydrolase; Nuclease,,Evidence at protein level,Nucleoli; Golgi apparatus; Plasma membrane; Primary cilium tip; Basal body; Cytosol,Nucleoli,Golgi apparatus; Plasma membrane; Primary cilium tip; Basal body; Cytosol,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Cell type enhanced
Primary cilium; Primary cilium tip,SMG8,C17orf71; FLJ10587; FLJ23205,ENSG00000167447,SMG8 nonsense mediated mRNA decay factor,Q8ND04,17,59209400-59215239,Disease related genes; Essential proteins; Human disease related genes; Predicted intracellular proteins; Predicted membrane proteins,Nonsense-mediated mRNA decay,,Cataract; Disease variant; Intellectual disability,Evidence at protein level,Nucleoplasm; Vesicles; Primary cilium; Primary cilium tip; Cytosol,Nucleoplasm,Vesicles; Primary cilium; Primary cilium tip; Cytosol,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Astrocytes': '5.0', 'Brain excitatory neurons': '4.2', 'Brain inhibitory neurons': '4.3', 'Ependymal cells': '3.9', 'Foveolar cells': '3.2', 'Microglia': '3.6', 'Oligodendrocyte progenitor cells': '3.8', 'Oligodendrocytes': '4.9', 'Other brain neurons': '6.9', 'Smooth muscle cells': '3.2'}",Low cell type specificity
Centrosome,SP6,Epfn; KLF14,ENSG00000189120,Sp6 transcription factor,Q3SY56,17,47844908-47855874,Predicted intracellular proteins; Transcription factors,Transcription; Transcription regulation,DNA-binding,Amelogenesis imperfecta; Disease variant,Evidence at protein level,Nucleoplasm; Mitotic spindle; Centrosome,Nucleoplasm,Mitotic spindle; Centrosome,Supported,Tissue enhanced,Detected in many,,"{'placenta': '21.4', 'skin 1': '13.9'}",Cell type enhanced,"{'Breast lactating cells': '25.3', 'Cytotrophoblasts': '70.2', 'Enterocytes': '14.1', 'Esophageal apical cells': '37.3', 'Migrating cytotrophoblasts': '34.6', 'Prostatic hillock cells': '13.7', 'Syncytiotrophoblasts': '108.3'}",Not detected
